Kingdom	Phylum	Class	Order	Family	Genus	ASV_names	prASH01E	prASH01R	prASH02E	prASH02R	prASH03E	prASH03R	prASH04E	prASH04R	prASH05E	prASH05R	prASH06E	prASH06R	prASH07E	prASH07R	prASH08E	prASH08R	prASH09E	prASH09R	prASH10R	prASH11E	prASH11R	prASH12E	prASH12R	prBSD01E	prBSD01R	prBSD02E	prBSD02R	prBSD03E	prBSD03R	prBSD04E	prBSD04R	prBSD05E	prBSD05R	prBSD06E	prBSD06R	prBSD07E	prBSD07R	prBSD08E	prBSD08R	prBSD09E	prBSD09R	prBSD10R	prBSD11R	prBSD12E	prBSD12R	prNSD01E	prNSD01R	prNSD02E	prNSD02R	prNSD03E	prNSD03R	prNSD04E	prNSD04R	prNSD05E	prNSD05R	prNSD06E	prNSD06R	prNSD07E	prNSD07R	prNSD08E	prNSD08R	prNSD09E	prNSD09R	prNSD10E	prNSD10R	prNSD11E	prNSD11R	prNSD12E	prNSD12R	prNSH01E	prNSH01R	prNSH02E	prNSH02R	prNSH03E	prNSH03R	prNSH04E	prNSH04R	prNSH05E	prNSH05R	prNSH06E	prNSH06R	prNSH07E	prNSH07R	prNSH08E	prNSH08R	prNSH09E	prNSH09R	prNSH10E	prNSH10R	prNSH11R	prNSH12E	prNSH12R	vASH01R	vASH02E	vASH02R	vASH03E	vASH03R	vASH04E	vASH04R	vASH05E	vASH05R	vASH06E	vASH06R	vASH07E	vASH07R	vASH08E	vASH08R	vASH09E	vASH09R	vASH10R	vASH11E	vASH11R	vASH12R	vBSD01E	vBSD01R	vBSD02E	vBSD02R	vBSD03R	vBSD04R	vBSD05E	vBSD05R	vBSD06E	vBSD06R	vBSD07E	vBSD07R	vBSD08E	vBSD08R	vBSD09E	vBSD09R	vBSD10R	vBSD11E	vBSD11R	vBSD12E	vBSD12R	vNSD01R	vNSD02E	vNSD02R	vNSD03E	vNSD03R	vNSD04E	vNSD04R	vNSD05E	vNSD05R	vNSD06E	vNSD06R	vNSD07E	vNSD07R	vNSD08E	vNSD08R	vNSD09E	vNSD09R	vNSD10E	vNSD10R	vNSD11E	vNSD11R	vNSD12E	vNSD12R	vNSH01E	vNSH01R	vNSH02E	vNSH02R	vNSH03E	vNSH03R	vNSH04E	vNSH04R	vNSH05E	vNSH05R	vNSH06E	vNSH06R	vNSH07E	vNSH07R	vNSH08E	vNSH08R	vNSH09E	vNSH09R	vNSH10E	vNSH10R	vNSH11R	vNSH12E	vNSH12R
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	b_ASV00002	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	0	103	0	0	0	162	0	3	0	4	0	17201	0	0	0	18	0	0	0	28123	0	42465	0	35630	0	31660	0	24588	0	29916	0	31076	0	33177	0	8686	0	30484	0	39842	0	26727	0	1760	0	38019	0	34244	0	10609	0	25754	0	38810	3	34665	0	26573	0	30397	0	35346	2	29061	0	0	18879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	61	0	0	0	75	0	0	0	0	0	0	0	6081	0	6143	0	4738	0	13399	0	16694	0	12172	0	5089	0	8837	0	10443	0	5018	0	6577	0	339	0	15479	0	4914	0	17615	0	0	0	3	0	16970	0	18809	0	3910	0	1825	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	b_ASV00004	289	1798	137	1463	238	1955	68	916	229	1574	660	1776	97	949	193	1217	80	713	1552	85	1523	387	1878	98	774	0	1452	41	641	43	601	402	552	0	720	0	840	59	897	0	1201	836	643	0	1029	35	1281	89	1574	0	2183	105	1543	0	1731	86	1312	0	1655	764	1515	104	1371	0	1988	43	1379	58	1490	0	1350	0	2059	397	1607	0	1762	139	1845	157	1772	81	3004	0	867	97	1459	0	1850	2086	47	1857	2265	44	1389	261	1392	145	1625	816	1770	205	1207	0	826	54	820	84	804	1483	212	1857	1731	0	888	0	540	1049	605	69	793	65	1045	0	2592	0	967	60	487	775	0	1279	0	946	2574	0	1451	0	1428	74	2011	15	1614	0	1314	109	1848	0	1642	142	1524	57	2702	0	1233	535	1835	0	1630	52	2326	0	1994	83	1969	318	2076	128	1727	22	2301	0	1664	89	1863	59	1663	2282	48	1536
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	b_ASV00005	277	1080	204	903	166	560	39	190	93	276	246	325	0	420	126	408	133	542	359	41	449	54	365	84	211	102	308	39	406	120	884	0	376	245	357	65	599	133	356	274	235	212	344	0	334	0	261	47	165	80	397	102	396	19	316	146	379	34	260	817	411	93	226	17	157	0	351	200	311	18	411	34	258	408	348	18	414	0	241	87	956	0	290	0	126	0	832	60	299	535	0	499	482	121	739	403	583	81	434	605	353	169	238	32	253	33	232	172	473	728	270	836	410	87	354	24	284	286	145	70	645	105	581	99	975	58	357	266	290	307	54	420	147	513	478	64	210	56	283	66	367	0	237	19	373	57	389	35	334	167	498	65	546	38	195	158	310	57	309	0	109	24	346	0	497	68	472	82	207	0	356	15	385	83	542	40	198	317	44	535
Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	b_ASV00012	5	31	0	21	0	12	17	7	0	16	193	28	0	6	0	22	0	12	33	17	31	0	161	0	195	9	107	12	259	9	745	0	16	22	36	0	41	0	49	166	55	377	75	0	267	4	96	0	182	28	110	45	97	0	104	0	37	0	205	12	89	20	374	0	266	3	31	14	152	0	84	0	315	0	167	0	147	0	360	0	91	0	171	0	197	8	107	0	75	192	0	220	27	0	29	0	22	0	10	0	34	53	36	0	0	0	0	0	0	0	19	32	232	0	789	16	2820	4282	103	0	275	91	447	21	468	0	515	1069	359	3815	0	156	17	429	33	12	49	9	139	0	73	0	39	13	442	0	74	0	65	51	88	12	605	0	102	0	56	0	86	11	130	0	98	20	317	4	65	0	148	0	89	0	101	180	64	0	67	176	0	184
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	b_ASV00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	14	0	0	0	6	0	0	0	6	0	0	0	0	0	41	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	34	0	0	0	5	0	0	0	0	0	0	0	44	0	0	0	0	0	103	0	0	0	8	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	17	0	9	0	0	0	0	0	22	0	21	0	14	0	49	0	7	0	0	0	0	0	61	0	0	0	0	0	53	0	0	0	0	0	0	0	8	0	0	9	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	b_ASV00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5087	0	765	0	4117	0	663	0	0	0	0	0	0	0	209	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	282	12	34	0	52	0	0	0	213	14	0	0	221	10	138	0	994	0	387	0	170	0	182	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	64	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	b_ASV00015	0	57	0	22	53	0	35	0	0	22	0	57	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	608	0	0	0	86	37	0	0	0	0	82	0	58	0	0	0	0	0	44	0	109	0	249	0	121	0	31	0	59	0	356	0	77	19	0	0	0	0	22	33	8	0	0	0	27	0	0	0	0	0	0	0	0	0	175	0	15	0	0	76	0	162	105	63	44	70	52	0	0	0	17	0	38	58	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	36	0	0	0	0	0	0	0	0	76	77	65	0	0	568	91	0	0	133	62	44	0	0	0	75	46	989	0	373	103	78	0	30	0	0	0	113	0	10	0	48	0	0	0	0	0	0	21	18	0	15	0	243	0	219	48	0	645	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	b_ASV00016	0	151	158	103	306	266	261	83	302	279	128	76	54	109	35	56	138	81	210	352	81	46	490	48	56	53	105	58	151	47	15	45	0	24	0	120	42	114	77	115	25	48	42	6	70	18	76	29	19	21	55	157	198	19	27	10	41	49	138	1114	34	212	587	8	166	7	53	1844	103	0	72	0	81	622	122	11	160	9	53	41	387	35	146	6	60	44	448	34	77	131	38	41	109	153	56	102	124	51	104	120	161	0	30	0	47	14	43	73	26	250	303	32	92	38	0	0	75	61	0	69	32	150	0	33	152	23	61	123	526	52	171	69	160	121	60	22	113	0	29	36	20	48	19	0	52	65	19	0	35	36	70	15	60	14	31	20	91	172	28	0	0	0	144	0	53	236	81	9	417	17	169	8	150	7	38	54	55	107	8	141
Bacteria	Acidobacteria	Acidobacteria_Gp3	Acidobacteria_Gp3_ois	Acidobacteria_Gp3_fis	Gp3	b_ASV00017	0	191	24	442	37	215	0	80	0	132	0	137	0	100	0	65	47	73	139	25	138	0	86	0	92	0	629	0	187	0	174	0	86	0	124	0	115	0	146	0	68	66	137	0	127	0	42	0	84	0	164	0	345	0	212	0	145	0	149	0	177	0	118	0	76	0	183	0	365	0	591	0	354	0	547	0	450	0	701	0	795	0	815	0	404	0	594	0	300	680	0	745	647	0	458	26	182	0	136	0	273	34	129	0	113	0	27	0	55	153	36	277	111	0	66	0	224	197	105	14	356	0	315	0	366	0	98	0	184	394	0	135	0	298	271	0	133	0	254	0	427	0	208	0	328	0	303	0	376	0	163	0	286	0	259	0	289	0	313	0	161	15	479	0	910	0	467	0	635	0	481	0	502	0	580	0	640	1032	0	617
Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	b_ASV00018	0	75	0	103	155	84	89	0	0	127	168	97	0	51	0	12	102	36	73	0	48	96	27	61	95	58	280	288	90	288	60	0	16	45	118	0	91	59	337	296	36	64	54	0	219	0	43	0	87	0	132	0	72	0	70	42	35	0	18	251	16	0	76	0	23	0	28	0	26	0	33	0	352	291	114	0	331	0	286	103	124	0	65	0	37	0	142	0	198	125	0	197	73	0	51	348	63	40	0	106	100	193	163	0	0	0	0	0	0	37	94	22	53	32	70	0	401	209	21	0	68	109	95	0	413	0	254	52	134	271	17	168	22	263	55	18	59	25	150	278	73	0	0	0	93	0	19	0	0	0	83	0	153	0	33	308	51	0	97	0	73	45	131	0	317	0	77	169	102	0	111	0	278	0	195	0	144	221	0	271
