Kingdom	Phylum	Class	Order	Family	Genus	ASV_names	prASH01E	prASH01R	prASH02E	prASH02R	prASH03E	prASH03R	prASH04E	prASH04R	prASH05E	prASH05R	prASH06E	prASH06R	prASH07E	prASH07R	prASH08E	prASH08R	prASH09E	prASH09R	prASH10E	prASH10R	prASH11E	prASH11R	prASH12E	prASH12R	prBSD01E	prBSD01R	prBSD02E	prBSD02R	prBSD03E	prBSD03R	prBSD04E	prBSD04R	prBSD05E	prBSD05R	prBSD06E	prBSD06R	prBSD07E	prBSD07R	prBSD08E	prBSD08R	prBSD09E	prBSD09R	prBSD10E	prBSD10R	prBSD11E	prBSD11R	prBSD12E	prBSD12R	prNSD01E	prNSD01R	prNSD02E	prNSD02R	prNSD03E	prNSD03R	prNSD04E	prNSD04R	prNSD05E	prNSD05R	prNSD06E	prNSD06R	prNSD07E	prNSD07R	prNSD08E	prNSD08R	prNSD09E	prNSD09R	prNSD10E	prNSD10R	prNSD11E	prNSD11R	prNSD12E	prNSD12R	prNSH01E	prNSH01R	prNSH02E	prNSH02R	prNSH03E	prNSH03R	prNSH04E	prNSH04R	prNSH05E	prNSH05R	prNSH06E	prNSH06R	prNSH07E	prNSH07R	prNSH08E	prNSH08R	prNSH09E	prNSH09R	prNSH10E	prNSH10R	prNSH11E	prNSH11R	prNSH12E	prNSH12R	vASH01E	vASH01R	vASH02E	vASH02R	vASH03E	vASH03R	vASH04E	vASH04R	vASH05E	vASH05R	vASH06E	vASH06R	vASH07E	vASH07R	vASH08E	vASH08R	vASH09E	vASH09R	vASH10E	vASH10R	vASH11E	vASH11R	vASH12E	vASH12R	vBSD01E	vBSD01R	vBSD02E	vBSD02R	vBSD03E	vBSD03R	vBSD04E	vBSD04R	vBSD05E	vBSD05R	vBSD06E	vBSD06R	vBSD07E	vBSD07R	vBSD08E	vBSD08R	vBSD09E	vBSD09R	vBSD10E	vBSD10R	vBSD11E	vBSD11R	vBSD12E	vBSD12R	vNSD01E	vNSD01R	vNSD02E	vNSD02R	vNSD03E	vNSD03R	vNSD04E	vNSD04R	vNSD05E	vNSD05R	vNSD06E	vNSD06R	vNSD07E	vNSD07R	vNSD08E	vNSD08R	vNSD09E	vNSD09R	vNSD10E	vNSD10R	vNSD11E	vNSD11R	vNSD12E	vNSD12R	vNSH01E	vNSH01R	vNSH02E	vNSH02R	vNSH03E	vNSH03R	vNSH04E	vNSH04R	vNSH05E	vNSH05R	vNSH06E	vNSH06R	vNSH07E	vNSH07R	vNSH08E	vNSH08R	vNSH09E	vNSH09R	vNSH10E	vNSH10R	vNSH11E	vNSH11R	vNSH12E	vNSH12R
Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	f_ASV00001	2403	182	2919	107	435	23	1264	116	1822	33	1856	163	969	121	4096	151	1369	187	2589	69	984	106	562	86	1823	326	4298	56	4794	99	940	0	3699	309	5639	84	1497	945	6008	36	7112	26	743	1410	9	0	1626	0	2925	284	3741	267	1687	471	1269	114	495	35	1676	0	1333	638	723	546	573	112	26	8	6031	188	1408	54	3537	6	4302	176	2828	125	1197	207	2751	819	3838	761	2215	665	4296	50	1873	294	272	171	9349	546	3752	135	2616	80	8023	190	4102	43	4299	23	1354	42	6856	110	857	0	3755	32	2092	10	2460	55	1769	40	302	22	0	0	641	18	12472	209	8635	76	1480	0	0	0	9735	66	3882	0	9532	767	957	71	275	0	0	0	46	448	7872	195	9733	38	15602	460	318	49	122	156	17218	215	4454	120	2590	276	278	37	5165	62	610	543	935	123	2022	47	2060	180	850	479	202	73	4416	55	2459	117	1177	127	2180	223	1488	239	3141	117	4444	167
Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	f_ASV00002	0	0	0	0	0	3650	0	74	0	0	0	4786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21492	88	11755	0	8	0	0	0	0	0	0	0	3	0	5	0	0	0	2	182	17087	0	23	0	4	0	0	0	45	0	0	0	67	11	52	0	21	0	0	2	52	0	29	0	0	0	10	2738	17036	0	20	0	0	0	4	53	11214	0	13111	0	0	0	0	0	3	0	0	0	0	0	0	10	5887	0	1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	10684	105	9399	0	37	0	34	0	0	0	0	0	0	0	11	0	0	0	0	0	10846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15397	6	0	406	11962	0	0	0	14330	258	8837	0	0	0	0	0	16	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00003	0	0	2726	47	8490	0	444	20	13776	60	0	0	25627	77	159	27	566	26	1545	0	1083	0	212	0	0	0	16699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19255	0	6	0	0	0	0	0	0	0	0	0	3	0	0	94	0	0	4499	162	0	0	0	0	1464	0	0	6	14811	0	0	0	0	0	0	0	3939	0	0	0	37	0	1275	0	2575	0	171	0	9313	0	46	0	3249	0	139	0	12660	130	6430	0	319	0	4349	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1610	0	0	0	41229	0	0	0	5	0	0	0	34739	0	22109	0	330	0	0	0	0	0	0	0	791	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	f_ASV00004	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	11134	559	1608	430	7105	0	12	154	6006	0	3	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	7513	0	0	0	5	3292	38314	0	8	0	18	6	6	13	0	411	24704	0	0	0	0	0	288	0	31957	18	1284	1033	7406	0	304	21	36	2530	5314	30	4065	87	12354	276	24391	0	7694	38	16276	17	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20839	0	3	0	1662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1748	0	0	0	4398	0	11	3294	14020	440	8966	0	0	0	0	0	29	660	1435	39	8130	0	17053	23	14204	291	9662	661	29968	453	41996	2130	16869	3138	5862	0	431	188	32963	389	12573
Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	f_ASV00005	0	0	434	0	1106	145	2062	47	0	0	148	0	4610	124	7588	70	14105	309	20171	56	4315	72	4445	65	3138	0	0	0	15027	746	13343	32	0	0	0	0	0	0	0	0	0	0	0	0	11	52	19360	299	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6197	223	39	20	7432	194	0	0	11074	283	23633	2587	0	0	0	0	27	0	0	0	2534	350	29747	996	16936	158	0	0	0	0	2442	139	5671	0	0	0	3415	237	574	68	2394	86	12069	154	629	0	6773	0	323	41	10653	563	0	0	28785	534	0	0	71	0	3	0	0	0	0	0	0	0	0	0	6167	338	5415	510	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	669	260	0	0	3	0	942	546	2426	0	0	0	643	164	0	0	50	0	7188	105	2218	195	3541	0	0	0	0	0	7827	90	8059	136
Fungi	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	f_ASV00006	19662	85	12714	55	767	28	9	0	529	0	0	0	0	0	1311	13	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13347	16	0	0	330	85	0	0	35131	54	10676	0	18207	466	12011	0	7495	68	0	0	0	0	14540	52	15022	57	18897	301	0	0	0	0	19239	622	21224	332	0	0	184	0	0	0	0	0	0	0	21649	36	10955	86	842	0	0	0	0	0	6524	0	0	0	5032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8209	528	0	0	1348	45	122	0	806	378	18	0	6597	62	0	0	1221	134	0	0	778	322	2658	62	2330	16	3674	131	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	f_ASV00007	0	0	0	0	0	1741	15	2008	322	1144	5701	0	28	1094	144	2178	0	826	362	809	239	296	41	200	206	1253	787	531	4557	0	1381	0	0	0	0	0	0	0	0	0	0	0	1696	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3334	0	0	0	0	0	0	0	0	0	0	1481	1130	0	0	12	1595	0	509	0	0	0	688	0	908	581	872	4408	2720	15	737	0	0	714	0	55	0	23	0	174	0	212	232	0	509	0	0	142	664	32	368	179	209	34	202	17	156	377	0	72	0	1434	0	134	0	0	0	0	0	0	0	0	0	0	0	1916	709	2355	0	0	0	0	0	0	0	0	0	0	0	0	0	1170	519	0	0	0	0	0	0	0	0	0	0	0	0	622	488	0	0	0	0	0	0	0	246	137	95	0	0	1777	0	264	458	125	0	373	158	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	f_ASV00008	0	0	175	6225	63	9428	6	73	0	21	0	2732	13	728	49	1994	0	6182	10	1395	83	0	9	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	6649	31	5469	502	0	0	0	0	918	448	3829	0	8	21	185	0	0	0	5736	0	0	0	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Infundichalara	f_ASV00009	0	12	530	0	0	0	0	0	20	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	3163	21	9334	8	747	10	10616	17	42	12	11140	23	5046	125	6482	40	12308	0	1076	1012	335	144	111	0	8	3	273	0	60	39	13	9	122	0	177	0	75	293	150	6	74	20	3653	23	389	0	7311	7	42	0	193	0	1575	34	241	0	204	38	1467	0	231	21	17225	29	130	34	1113	0	432	0	1376	0	767	0	212	0	53	0	0	0	14	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	10333	53	589	48	2546	68	3019	183	3334	8	4809	16	3908	54	18715	450	316	104	2431	97	1594	56	403	0	0	0	1344	85	979	0	9484	29	52	0	9	7	66	0	715	0	399	21	687	82	3716	44	913	47	1109	7	37	18	261	10	462	15	708	0	1345	17	241	0	79	0	9876	197	654	34	153	0	3219	12
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	f_ASV00010	0	34	0	0	0	124	0	893	0	1067	0	519	0	0	0	0	0	6	0	91	0	60	0	0	0	0	0	1910	0	0	0	2529	0	0	0	1121	0	762	0	282	0	0	0	0	0	0	0	0	0	0	0	5438	0	1658	0	46	0	0	7	4053	0	1526	0	8	0	0	0	139	0	0	0	25	0	22	0	0	0	656	0	2318	0	2460	0	0	0	5851	0	499	0	0	0	409	0	406	0	0	0	1154	0	367	0	0	0	248	0	2000	0	1780	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	4779	0	0	0	5228	0	0	0	1078	0	526	0	0	0	0	0	0	0	0	0	0	0	0	11	4130	0	0	12	3740	0	0	0	905	17	641	0	0	0	0	0	0	0	0	0	1103	0	103	0	0	0	182	11	1152	0	2412	0	0	0	0	722	663	0	2070	0	1926	0	1291	0	0
