Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prAPH01E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	1	Ppinaster_Asymptomatic	prAPHE	
prAPH01R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	1	Ppinaster_Asymptomatic	prAPHR	
prAPH02E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	2	Ppinaster_Asymptomatic	prAPHE	
prAPH02R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	2	Ppinaster_Asymptomatic	prAPHR	
prAPH03E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	3	Ppinaster_Asymptomatic	prAPHE	
prAPH03R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	3	Ppinaster_Asymptomatic	prAPHR	
prAPH04E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	4	Ppinaster_Asymptomatic	prAPHE	
prAPH04R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	4	Ppinaster_Asymptomatic	prAPHR	
prAPH05E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	5	Ppinaster_Asymptomatic	prAPHE	
prAPH05R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	5	Ppinaster_Asymptomatic	prAPHR	
prAPH06E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	6	Ppinaster_Asymptomatic	prAPHE	
prAPH06R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	6	Ppinaster_Asymptomatic	prAPHR	
prAPH07E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	7	Ppinaster_Asymptomatic	prAPHE	
prAPH07R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	7	Ppinaster_Asymptomatic	prAPHR	
prAPH08E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	8	Ppinaster_Asymptomatic	prAPHE	
prAPH08R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	8	Ppinaster_Asymptomatic	prAPHR	
prAPH09E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	9	Ppinaster_Asymptomatic	prAPHE	
prAPH09R	Spring	Almijara	Ppinaster	Asymptomatic	Rhizosphere	9	Ppinaster_Asymptomatic	prAPHR	
prAPH10E	Spring	Almijara	Ppinaster	Asymptomatic	Endosphere	10	Ppinaster_Asymptomatic	prAPHE	
